location_name,data_date,submitted_date,Province,District,malaria_rdt_0-4,malaria_rdt_5-14,malaria_rdt_15,malaria_tot,newid
Facility 50,2019-06-08,2019-06-09,Sofala,Nhamatanda,14,9,22,45,50
Facility 50,2019-06-07,2019-06-09,Sofala,Nhamatanda,23,19,39,81,50
Facility 16,2019-06-08,2019-06-09,Sofala,Buzi,0,2,0,2,16
Facility 12,2019-06-08,2019-06-09,Sofala,Dondo,33,20,64,117,12
Facility 15,2019-06-08,2019-06-09,Sofala,Buzi,2,4,5,11,15
Facility 3,2019-06-08,2019-06-09,Sofala,Dondo,0,0,0,0,3
Facility 40,2019-06-08,2019-06-09,Sofala,Buzi,16,4,18,38,40
Facility 2,2019-06-08,2019-06-09,Sofala,Beira,10,15,18,43,2
Facility 46,2019-06-08,2019-06-08,Sofala,Dondo,0,0,0,0,46
Facility 22,2019-06-08,2019-06-08,Sofala,Beira,0,0,0,0,22
Facility 15,2019-06-07,2019-06-08,Sofala,Buzi,5,5,3,13,15
Facility 47,2019-06-07,2019-06-08,Sofala,Buzi,8,2,0,10,47
Facility 36,2019-06-08,2019-06-08,Sofala,Dondo,0,0,0,0,36
Facility 36,2019-06-07,2019-06-08,Sofala,Dondo,7,7,12,26,36
Facility 58,2019-06-07,2019-06-08,Sofala,Nhamatanda,21,0,49,70,58
Facility 58,2019-06-06,2019-06-08,Sofala,Nhamatanda,17,0,53,70,58
Facility 58,2019-06-05,2019-06-08,Sofala,Nhamatanda,25,0,34,59,58
Facility 21,2019-06-07,2019-06-08,Sofala,Beira,17,4,7,28,21
Facility 46,2019-06-07,2019-06-08,Sofala,Dondo,13,4,23,40,46
Facility 24,2019-06-07,2019-06-08,Sofala,Beira,4,3,18,25,24
Facility 19,2019-06-07,2019-06-08,Sofala,Beira,18,5,35,58,19
Facility 20,2019-05-28,2019-05-29,Sofala,Buzi,15,18,22,55,20
Facility 13,2019-05-28,2019-05-29,Sofala,Beira,0,0,0,0,13
Facility 18,2019-05-28,2019-05-29,Sofala,Beira,4,2,9,15,18
Facility 12,2019-05-28,2019-05-29,Sofala,Dondo,20,35,40,95,12
Facility 12,2019-05-28,2019-05-29,Sofala,Dondo,20,35,40,95,12
Facility 36,2019-05-28,2019-05-29,Sofala,Dondo,8,7,15,30,36
Facility 23,2019-05-28,2019-05-29,Sofala,Dondo,13,11,9,33,23
Facility 23,2019-05-27,2019-05-29,Sofala,Dondo,7,15,9,31,23
Facility 15,2019-05-29,2019-05-29,Sofala,Buzi,36,18,29,83,15
Facility 42,2019-05-28,2019-05-29,Sofala,Dondo,22,4,16,42,42
Facility 41,2019-05-28,2019-05-29,Sofala,Buzi,17,8,34,59,41
Facility 41,2019-05-27,2019-05-29,Sofala,Buzi,11,7,29,47,41
Facility 22,2019-05-28,2019-05-29,Sofala,Beira,5,3,8,16,22
Facility 53,2019-05-28,2019-05-29,Sofala,Beira,12,4,7,23,53
Facility 3,2019-05-29,2019-05-29,Sofala,Dondo,3,8,6,17,3
Facility 25,2019-05-28,2019-05-29,Sofala,Beira,3,2,2,7,25
Facility 55,2019-05-28,2019-05-29,Sofala,Beira,12,3,22,37,55
Facility 40,2019-05-28,2019-05-29,Sofala,Buzi,23,11,27,61,40
Facility 27,2019-04-28,2019-05-29,Sofala,Nhamatanda,8,4,5,17,27
Facility 27,2019-05-28,2019-05-29,Sofala,Nhamatanda,8,4,5,17,27
Facility 16,2019-05-28,2019-05-29,Sofala,Buzi,31,29,15,75,16
Facility 48,2019-05-28,2019-05-29,Sofala,Dondo,12,3,13,28,48
Facility 24,2019-05-28,2019-05-29,Sofala,Beira,6,4,26,36,24
Facility 24,2019-05-27,2019-05-29,Sofala,Beira,5,7,18,30,24
Facility 24,2019-05-26,2019-05-29,Sofala,Beira,23,13,58,94,24
Facility 32,2019-05-28,2019-05-28,Sofala,Nhamatanda,26,25,24,75,32
Facility 5,2019-05-19,2019-05-23,Sofala,Beira,2,0,0,2,5
Facility 5,2019-05-18,2019-05-23,Sofala,Beira,10,19,15,44,5
Facility 9,2019-05-22,2019-05-23,Sofala,Nhamatanda,19,17,41,77,9
Facility 47,2019-05-22,2019-05-23,Sofala,Buzi,37,18,19,74,47
Facility 38,2019-05-22,2019-05-23,Sofala,Beira,9,10,9,28,38
Facility 31,2019-05-22,2019-05-23,Sofala,Dondo,14,4,13,31,31
Facility 31,2019-05-21,2019-05-23,Sofala,Dondo,7,13,23,43,31
Facility 54,2019-05-22,2019-05-23,Sofala,Buzi,20,34,22,76,54
Facility 54,2019-05-21,2019-05-23,Sofala,Buzi,26,17,19,62,54
Facility 42,2019-05-22,2019-05-23,Sofala,Dondo,25,8,31,64,42
Facility 24,2019-05-22,2019-05-23,Sofala,Beira,24,7,78,109,24
Facility 60,2019-05-22,2019-05-23,Sofala,Beira,12,9,21,42,60
Facility 44,2019-05-20,2019-05-23,Sofala,Buzi,46,28,36,110,44
Facility 49,2019-05-22,2019-05-23,Sofala,Dondo,3,1,6,10,49
Facility 21,2019-05-23,2019-05-23,Sofala,Beira,32,10,2,44,21
Facility 53,2019-05-22,2019-05-23,Sofala,Beira,29,4,4,37,53
Facility 13,2019-05-22,2019-05-23,Sofala,Beira,0,0,0,0,13
Facility 16,2019-05-22,2019-05-23,Sofala,Buzi,0,2,0,2,16
Facility 4,2019-05-20,2019-05-23,Sofala,Beira,23,39,34,96,4
Facility 15,2019-05-23,2019-05-23,Sofala,Buzi,27,13,28,68,15
Facility 46,2019-05-22,2019-05-23,Sofala,Dondo,2,3,14,19,46
Facility 46,2019-05-21,2019-05-23,Sofala,Dondo,3,2,10,15,46
Facility 41,2019-05-12,2019-05-23,Sofala,Buzi,1,5,7,13,41
Facility 27,2019-05-22,2019-05-23,Sofala,Nhamatanda,9,5,7,21,27
Facility 41,2019-05-11,2019-05-23,Sofala,Buzi,0,1,20,21,41
Facility 27,2019-05-21,2019-05-23,Sofala,Nhamatanda,5,9,1,15,27
Facility 41,2019-05-10,2019-05-23,Sofala,Buzi,16,9,40,65,41
Facility 41,2019-05-08,2019-05-23,Sofala,Buzi,8,3,9,20,41
Facility 12,2019-05-22,2019-05-23,Sofala,Dondo,49,47,62,158,12
Facility 41,2019-05-22,2019-05-23,Sofala,Buzi,19,14,39,72,41
Facility 29,2019-05-22,2019-05-23,Sofala,Dondo,19,27,31,77,29
Facility 40,2019-05-22,2019-05-23,Sofala,Buzi,8,7,4,19,40
Facility 55,2019-05-22,2019-05-23,Sofala,Beira,20,6,29,55,55
Facility 3,2019-05-23,2019-05-23,Sofala,Dondo,14,5,15,34,3
Facility 18,2019-05-22,2019-05-23,Sofala,Beira,5,2,8,15,18
Facility 45,2019-05-22,2019-05-23,Sofala,Buzi,47,71,62,180,45
Facility 26,2019-05-22,2019-05-23,Sofala,Beira,7,0,7,14,26
Facility 48,2019-05-22,2019-05-23,Sofala,Dondo,10,10,16,36,48
Facility 61,2019-05-21,2019-05-22,Sofala,Buzi,6,5,3,14,61
Facility 26,2019-05-21,2019-05-22,Sofala,Beira,7,0,7,14,26
Facility 31,2019-05-20,2019-05-22,Sofala,Dondo,14,15,26,55,31
Facility 31,2019-05-17,2019-05-22,Sofala,Dondo,13,15,16,44,31
Facility 22,2019-05-22,2019-05-22,Sofala,Beira,11,3,18,32,22
Facility 52,2019-05-21,2019-05-22,Sofala,Beira,8,5,32,45,52
Facility 57,2019-05-22,2019-05-22,Sofala,Buzi,15,12,11,38,57
Facility 34,2019-05-22,2019-05-22,Sofala,Dondo,11,5,24,40,34
Facility 1,2019-05-21,2019-05-22,Sofala,Nhamatanda,19,18,37,74,1
Facility 4,2019-05-22,2019-05-22,Sofala,Beira,29,11,20,60,4
Facility 14,2019-05-22,2019-05-22,Sofala,Dondo,8,7,13,28,14
Facility 7,2019-05-21,2019-05-22,Sofala,Nhamatanda,13,10,20,43,7
Facility 35,2019-05-21,2019-05-22,Sofala,Nhamatanda,52,50,124,226,35
Facility 35,2019-05-20,2019-05-22,Sofala,Nhamatanda,83,45,135,263,35
Facility 30,2019-05-22,2019-05-22,Sofala,Beira,26,34,28,88,30
Facility 30,2019-05-21,2019-05-22,Sofala,Beira,19,24,31,74,30
Facility 10,2019-05-22,2019-05-22,Sofala,Beira,0,11,8,19,10
Facility 19,2019-05-21,2019-05-22,Sofala,Beira,23,6,40,69,19
Facility 26,2019-05-20,2019-05-22,Sofala,Beira,4,5,10,19,26
Facility 49,2019-05-21,2019-05-22,Sofala,Dondo,0,0,0,0,49
Facility 33,2019-05-21,2019-05-22,Sofala,Buzi,8,8,11,27,33
Facility 33,2019-05-20,2019-05-22,Sofala,Buzi,1,3,11,15,33
Facility 33,2019-05-18,2019-05-22,Sofala,Buzi,3,5,16,24,33
Facility 29,2019-05-21,2019-05-22,Sofala,Dondo,23,19,14,56,29
Facility 21,2019-05-22,2019-05-22,Sofala,Beira,35,0,1,36,21
Facility 47,2019-05-21,2019-05-22,Sofala,Buzi,30,15,45,90,47
Facility 22,2019-05-18,2019-05-22,Sofala,Beira,0,0,0,0,22
Facility 12,2019-05-21,2019-05-22,Sofala,Dondo,49,27,56,132,12
Facility 42,2019-05-21,2019-05-22,Sofala,Dondo,24,11,23,58,42
Facility 42,2019-05-20,2019-05-22,Sofala,Dondo,29,9,28,66,42
Facility 42,2019-05-18,2019-05-22,Sofala,Dondo,20,13,12,45,42
Facility 42,2019-05-17,2019-05-22,Sofala,Dondo,30,7,23,60,42
Facility 55,2019-05-21,2019-05-22,Sofala,Beira,15,5,22,42,55
Facility 37,2019-05-21,2019-05-22,Sofala,Beira,46,6,59,111,37
Facility 55,2019-05-20,2019-05-22,Sofala,Beira,19,10,47,76,55
Facility 16,2019-05-21,2019-05-22,Sofala,Buzi,2,5,5,12,16
Facility 13,2019-05-21,2019-05-22,Sofala,Beira,0,0,0,0,13
Facility 22,2019-05-12,2019-05-22,Sofala,Beira,0,0,0,0,22
Facility 15,2019-05-21,2019-05-22,Sofala,Buzi,8,15,1,24,15
Facility 9,2019-05-21,2019-05-22,Sofala,Nhamatanda,58,42,37,137,9
Facility 23,2019-05-21,2019-05-22,Sofala,Dondo,5,9,19,33,23
Facility 3,2019-05-22,2019-05-22,Sofala,Dondo,13,5,9,27,3
Facility 24,2019-05-21,2019-05-22,Sofala,Beira,16,15,53,84,24
Facility 11,2019-05-20,2019-05-22,Sofala,Nhamatanda,80,47,33,160,11
Facility 48,2019-05-21,2019-05-22,Sofala,Dondo,17,22,30,69,48
Facility 18,2019-05-21,2019-05-22,Sofala,Beira,5,3,10,18,18
Facility 22,2019-05-21,2019-05-22,Sofala,Beira,12,7,9,28,22
Facility 40,2019-05-21,2019-05-22,Sofala,Buzi,21,18,13,52,40
Facility 41,2019-05-21,2019-05-22,Sofala,Buzi,11,2,26,39,41
Facility 61,2019-05-20,2019-05-21,Sofala,Buzi,14,11,19,44,61
Facility 57,2019-05-21,2019-05-21,Sofala,Buzi,10,10,22,42,57
Facility 57,2019-05-21,2019-05-21,Sofala,Buzi,10,10,22,42,57
Facility 52,2019-04-23,2019-05-06,Sofala,Beira,20,6,33,59,52
Facility 52,2019-04-25,2019-05-06,Sofala,Beira,16,2,32,50,52
Facility 52,2019-04-26,2019-05-06,Sofala,Beira,21,3,13,37,52
Facility 22,2019-04-30,2019-05-02,Sofala,Beira,17,2,12,31,22
Facility 2,2019-05-20,2019-05-21,Sofala,Beira,26,26,56,108,2
Facility 38,2019-05-21,2019-05-21,Sofala,Beira,15,8,9,32,38
Facility 50,2019-05-20,2019-05-21,Sofala,Nhamatanda,108,10,52,170,50
Facility 4,2019-05-21,2019-05-21,Sofala,Beira,20,0,21,41,4
Facility 14,2019-05-21,2019-05-21,Sofala,Dondo,10,9,17,36,14
Facility 34,2019-05-21,2019-05-21,Sofala,Dondo,8,8,15,31,34
Facility 41,2019-05-20,2019-05-21,Sofala,Buzi,24,10,51,85,41
Facility 54,2019-05-20,2019-05-21,Sofala,Buzi,20,22,30,72,54
Facility 10,2019-05-21,2019-05-21,Sofala,Beira,0,10,24,34,10
Facility 29,2019-05-20,2019-05-21,Sofala,Dondo,15,37,37,89,29
Facility 53,2019-05-21,2019-05-21,Sofala,Beira,19,3,4,26,53
Facility 53,2019-05-20,2019-05-21,Sofala,Beira,19,4,12,35,53
Facility 53,2019-05-19,2019-05-21,Sofala,Beira,0,0,0,0,53
Facility 19,2019-05-20,2019-05-21,Sofala,Beira,17,5,52,74,19
Facility 19,2019-05-20,2019-05-21,Sofala,Beira,17,5,52,74,19
Facility 46,2019-05-20,2019-05-21,Sofala,Dondo,6,4,11,21,46
Facility 46,2019-05-18,2019-05-21,Sofala,Dondo,3,4,8,15,46
Facility 4,2019-05-19,2019-05-21,Sofala,Beira,0,0,0,0,4
Facility 21,2019-05-21,2019-05-21,Sofala,Beira,27,8,16,51,21
Facility 52,2019-05-20,2019-05-21,Sofala,Beira,25,15,57,97,52
Facility 51,2019-05-20,2019-05-21,Sofala,Nhamatanda,23,14,22,59,51
Facility 7,2019-05-20,2019-05-21,Sofala,Nhamatanda,17,21,24,62,7
Facility 51,2019-05-19,2019-05-21,Sofala,Nhamatanda,2,1,3,6,51
Facility 51,2019-05-18,2019-05-21,Sofala,Nhamatanda,9,6,4,19,51
Facility 51,2019-05-17,2019-05-21,Sofala,Nhamatanda,12,8,15,35,51
Facility 1,2019-05-20,2019-05-21,Sofala,Nhamatanda,50,33,47,130,1
Facility 11,2019-05-19,2019-05-21,Sofala,Nhamatanda,3,1,5,9,11
Facility 18,2019-05-20,2019-05-21,Sofala,Beira,9,6,10,25,18
Facility 49,2019-05-20,2019-05-21,Sofala,Dondo,10,28,12,50,49
Facility 12,2019-05-20,2019-05-21,Sofala,Dondo,36,33,57,126,12
Facility 9,2019-05-20,2019-05-21,Sofala,Nhamatanda,54,20,41,115,9
Facility 47,2019-05-20,2019-05-21,Sofala,Buzi,34,33,34,101,47
Facility 13,2019-05-20,2019-05-21,Sofala,Beira,0,0,0,0,13
Facility 16,2019-05-20,2019-05-21,Sofala,Buzi,40,28,43,111,16
Facility 23,2019-05-20,2019-05-21,Sofala,Dondo,4,17,25,46,23
Facility 37,2019-05-20,2019-05-21,Sofala,Beira,12,5,56,73,37
Facility 23,2019-05-19,2019-05-21,Sofala,Dondo,0,0,0,0,23
Facility 23,2019-05-18,2019-05-21,Sofala,Dondo,0,0,0,0,23
Facility 20,2019-05-20,2019-05-21,Sofala,Buzi,28,14,31,73,20
Facility 3,2019-05-21,2019-05-21,Sofala,Dondo,25,9,16,50,3
Facility 60,2019-05-20,2019-05-21,Sofala,Beira,16,16,19,51,60
Facility 23,2019-05-17,2019-05-21,Sofala,Dondo,8,11,15,34,23
Facility 15,2019-05-20,2019-05-21,Sofala,Buzi,34,27,36,97,15
Facility 25,2019-05-20,2019-05-21,Sofala,Beira,0,1,3,4,25
Facility 24,2019-05-20,2019-05-21,Sofala,Beira,35,0,74,109,24
Facility 25,2019-05-19,2019-05-21,Sofala,Beira,0,0,0,0,25
Facility 25,2019-05-18,2019-05-21,Sofala,Beira,0,0,0,0,25
Facility 27,2019-05-20,2019-05-21,Sofala,Nhamatanda,9,14,8,31,27
Facility 25,2019-05-17,2019-05-21,Sofala,Beira,0,0,2,2,25
Facility 45,2019-05-20,2019-05-21,Sofala,Buzi,52,47,29,128,45
Facility 34,2019-05-20,2019-05-21,Sofala,Dondo,11,15,30,56,34
Facility 48,2019-05-20,2019-05-21,Sofala,Dondo,13,11,35,59,48
Facility 40,2019-05-20,2019-05-21,Sofala,Buzi,33,29,38,100,40
Facility 41,2019-05-19,2019-05-20,Sofala,Buzi,8,6,10,24,41
Facility 41,2019-05-18,2019-05-20,Sofala,Buzi,16,14,43,73,41
Facility 41,2019-05-17,2019-05-20,Sofala,Buzi,8,7,22,37,41
Facility 52,2019-05-19,2019-05-20,Sofala,Beira,17,9,41,67,52
Facility 52,2019-05-18,2019-05-20,Sofala,Beira,16,8,8,32,52
Facility 52,2019-05-17,2019-05-20,Sofala,Beira,23,14,68,105,52
Facility 52,2019-05-16,2019-05-20,Sofala,Beira,22,7,59,88,52
Facility 52,2019-05-15,2019-05-20,Sofala,Beira,14,13,76,103,52
Facility 52,2019-05-14,2019-05-20,Sofala,Beira,11,8,54,73,52
Facility 35,2019-05-19,2019-05-20,Sofala,Nhamatanda,35,49,79,163,35
Facility 35,2019-05-18,2019-05-20,Sofala,Nhamatanda,48,27,112,187,35
Facility 57,2019-05-20,2019-05-20,Sofala,Buzi,9,16,26,51,57
Facility 7,2019-05-18,2019-05-20,Sofala,Nhamatanda,7,3,4,14,7
Facility 7,2019-05-19,2019-05-20,Sofala,Nhamatanda,4,0,2,6,7
Facility 35,2019-05-17,2019-05-20,Sofala,Nhamatanda,10,12,146,168,35
Facility 22,2019-05-20,2019-05-20,Sofala,Beira,10,4,23,37,22
Facility 38,2019-05-20,2019-05-20,Sofala,Beira,13,7,18,38,38
Facility 29,2019-05-19,2019-05-20,Sofala,Dondo,0,0,0,0,29
Facility 14,2019-05-20,2019-05-20,Sofala,Dondo,12,11,22,45,14
Facility 32,2019-05-20,2019-05-20,Sofala,Nhamatanda,29,37,14,80,32
Facility 30,2019-05-20,2019-05-20,Sofala,Beira,17,39,35,91,30
Facility 10,2019-05-20,2019-05-20,Sofala,Beira,0,14,14,28,10
Facility 10,2019-05-19,2019-05-20,Sofala,Beira,0,5,10,15,10
Facility 10,2019-05-18,2019-05-20,Sofala,Beira,0,2,8,10,10
Facility 20,2019-05-19,2019-05-20,Sofala,Buzi,3,4,6,13,20
Facility 52,2019-05-13,2019-05-20,Sofala,Beira,16,24,51,91,52
Facility 54,2019-05-17,2019-05-20,Sofala,Buzi,26,14,21,61,54
Facility 37,2019-05-19,2019-05-20,Sofala,Beira,6,2,67,75,37
Facility 37,2019-05-18,2019-05-20,Sofala,Beira,6,1,37,44,37
Facility 24,2019-05-19,2019-05-20,Sofala,Beira,12,9,45,66,24
Facility 24,2019-05-18,2019-05-20,Sofala,Beira,11,4,36,51,24
Facility 19,2019-05-19,2019-05-20,Sofala,Beira,11,0,13,24,19
Facility 19,2019-05-18,2019-05-20,Sofala,Beira,13,2,10,25,19
Facility 19,2019-05-17,2019-05-20,Sofala,Beira,21,12,18,51,19
Facility 28,2019-04-29,2019-05-20,Sofala,Nhamatanda,57,26,43,126,28
Facility 28,2019-04-28,2019-05-20,Sofala,Nhamatanda,2,1,0,3,28
Facility 28,2019-04-28,2019-05-20,Sofala,Nhamatanda,2,1,0,3,28
Facility 37,2019-05-17,2019-05-20,Sofala,Beira,11,4,102,117,37
Facility 49,2019-05-19,2019-05-20,Sofala,Dondo,20,20,10,50,49
Facility 12,2019-05-19,2019-05-20,Sofala,Dondo,33,42,58,133,12
Facility 36,2019-06-11,2019-06-11,Sofala,Dondo,5,14,14,33,36
Facility 57,2019-06-11,2019-06-11,Sofala,Buzi,7,5,15,27,57
Facility 57,2019-06-10,2019-06-11,Sofala,Buzi,29,19,20,68,57
Facility 39,2019-05-22,2019-06-11,Sofala,Nhamatanda,12,11,22,45,39
Facility 39,2019-05-21,2019-06-11,Sofala,Nhamatanda,7,21,15,43,39
Facility 57,2019-06-07,2019-06-11,Sofala,Buzi,9,10,26,45,57
Facility 39,2019-05-20,2019-06-11,Sofala,Nhamatanda,20,11,14,45,39
Facility 57,2019-06-06,2019-06-11,Sofala,Buzi,10,7,12,29,57
Facility 39,2019-05-19,2019-06-11,Sofala,Nhamatanda,17,12,11,40,39
Facility 39,2019-05-18,2019-06-11,Sofala,Nhamatanda,15,12,18,45,39
Facility 39,2019-05-17,2019-06-11,Sofala,Nhamatanda,18,11,8,37,39
Facility 57,2019-06-05,2019-06-11,Sofala,Buzi,9,10,26,45,57
Facility 39,2019-05-16,2019-06-11,Sofala,Nhamatanda,11,2,7,20,39
Facility 39,2019-05-15,2019-06-11,Sofala,Nhamatanda,15,12,10,37,39
Facility 34,2019-06-11,2019-06-11,Sofala,Dondo,8,8,10,26,34
Facility 33,2019-06-11,2019-06-11,Sofala,Buzi,2,5,7,14,33
Facility 33,2019-06-10,2019-06-11,Sofala,Buzi,2,8,8,18,33
Facility 4,2019-06-11,2019-06-11,Sofala,Beira,22,6,15,43,4
Facility 35,2019-06-10,2019-06-11,Sofala,Nhamatanda,48,41,22,111,35
Facility 6,2019-06-11,2019-06-11,Sofala,Dondo,11,9,8,28,6
Facility 41,2019-06-10,2019-06-11,Sofala,Buzi,10,7,23,40,41
Facility 62,2019-06-11,2019-06-11,Sofala,Buzi,9,5,18,32,62
Facility 62,2019-06-10,2019-06-11,Sofala,Buzi,4,6,9,19,62
Facility 62,2019-06-09,2019-06-11,Sofala,Buzi,0,0,0,0,62
Facility 62,2019-06-08,2019-06-11,Sofala,Buzi,0,0,0,0,62
Facility 23,2019-06-11,2019-06-11,Sofala,Dondo,12,4,15,31,23
Facility 47,2019-06-10,2019-06-11,Sofala,Buzi,3,0,0,3,47
Facility 37,2019-06-10,2019-06-11,Sofala,Beira,30,17,9,56,37
Facility 22,2019-06-11,2019-06-11,Sofala,Beira,9,3,22,34,22
Facility 37,2019-06-09,2019-06-11,Sofala,Beira,34,20,11,65,37
Facility 37,2019-06-08,2019-06-11,Sofala,Beira,45,9,29,83,37
Facility 45,2019-06-11,2019-06-11,Sofala,Buzi,137,83,37,257,45
Facility 51,2019-06-07,2019-06-11,Sofala,Nhamatanda,14,8,18,40,51
Facility 51,2019-06-10,2019-06-11,Sofala,Nhamatanda,10,6,8,24,51
Facility 51,2019-06-08,2019-06-11,Sofala,Nhamatanda,10,8,14,32,51
Facility 20,2019-06-10,2019-06-11,Sofala,Buzi,9,2,14,25,20
Facility 32,2019-06-09,2019-06-11,Sofala,Nhamatanda,0,0,0,0,32
Facility 46,2019-05-29,2019-06-04,Sofala,Dondo,8,1,10,19,46
Facility 46,2019-05-27,2019-06-04,Sofala,Dondo,4,4,12,20,46
Facility 46,2019-05-24,2019-06-04,Sofala,Dondo,0,0,0,0,46
Facility 46,2019-06-03,2019-06-04,Sofala,Dondo,1,3,6,10,46
Facility 5,2019-06-01,2019-06-04,Sofala,Beira,0,4,3,7,5
Facility 5,2019-05-31,2019-06-04,Sofala,Beira,10,8,10,28,5
Facility 5,2019-05-30,2019-06-04,Sofala,Beira,10,8,10,28,5
Facility 45,2019-06-03,2019-06-04,Sofala,Buzi,175,44,21,240,45
Facility 29,2019-06-03,2019-06-04,Sofala,Dondo,33,23,23,79,29
Facility 42,2019-06-03,2019-06-04,Sofala,Dondo,20,13,16,49,42
Facility 20,2019-06-03,2019-06-04,Sofala,Buzi,0,0,0,0,20
Facility 20,2019-06-02,2019-06-04,Sofala,Buzi,0,0,0,0,20
Facility 20,2019-06-01,2019-06-04,Sofala,Buzi,0,0,0,0,20
Facility 20,2019-05-31,2019-06-04,Sofala,Buzi,0,0,0,0,20
Facility 20,2019-05-30,2019-06-04,Sofala,Buzi,3,1,7,11,20
Facility 22,2019-06-03,2019-06-04,Sofala,Beira,8,7,20,35,22
Facility 33,2019-06-03,2019-06-04,Sofala,Buzi,6,5,12,23,33
Facility 41,2019-06-03,2019-06-04,Sofala,Buzi,15,10,19,44,41
Facility 54,2019-05-31,2019-06-04,Sofala,Buzi,19,12,15,46,54
Facility 54,2019-05-30,2019-06-04,Sofala,Buzi,16,12,19,47,54
Facility 54,2019-06-01,2019-06-04,Sofala,Buzi,0,0,0,0,54
Facility 36,2019-06-03,2019-06-04,Sofala,Dondo,9,9,7,25,36
Facility 36,2019-06-02,2019-06-04,Sofala,Dondo,0,0,0,0,36
Facility 36,2019-06-01,2019-06-04,Sofala,Dondo,0,0,0,0,36
Facility 36,2019-05-31,2019-06-04,Sofala,Dondo,5,11,17,33,36
Facility 38,2019-06-03,2019-06-04,Sofala,Beira,17,6,16,39,38
Facility 37,2019-06-03,2019-06-04,Sofala,Beira,36,20,21,77,37
Facility 12,2019-06-03,2019-06-04,Sofala,Dondo,30,25,81,136,12
Facility 55,2019-06-03,2019-06-04,Sofala,Beira,10,3,34,47,55
Facility 3,2019-06-04,2019-06-04,Sofala,Dondo,15,10,10,35,3
Facility 23,2019-06-03,2019-06-04,Sofala,Dondo,18,8,18,44,23
Facility 24,2019-06-03,2019-06-04,Sofala,Beira,7,6,57,70,24
Facility 25,2019-06-03,2019-06-04,Sofala,Beira,12,3,7,22,25
Facility 40,2019-06-03,2019-06-04,Sofala,Buzi,38,15,35,88,40
Facility 16,2019-06-03,2019-06-04,Sofala,Buzi,27,26,26,79,16
Facility 27,2019-06-03,2019-06-04,Sofala,Nhamatanda,9,14,11,34,27
Facility 25,2019-06-02,2019-06-04,Sofala,Beira,0,0,0,0,25
Facility 42,2019-06-02,2019-06-04,Sofala,Dondo,0,0,0,0,42
Facility 25,2019-06-01,2019-06-04,Sofala,Beira,0,0,0,0,25
Facility 25,2019-05-31,2019-06-04,Sofala,Beira,2,3,4,9,25
Facility 42,2019-06-01,2019-06-04,Sofala,Dondo,1,1,4,6,42
Facility 25,2019-05-30,2019-06-04,Sofala,Beira,4,5,8,17,25
Facility 48,2019-06-03,2019-06-04,Sofala,Dondo,10,9,16,35,48
Facility 26,2019-06-03,2019-06-04,Sofala,Beira,8,5,17,30,26
Facility 18,2019-06-03,2019-06-04,Sofala,Beira,10,0,7,17,18
Facility 2,2019-06-03,2019-06-04,Sofala,Beira,26,15,15,56,2
Facility 2,2019-06-01,2019-06-04,Sofala,Beira,10,10,18,38,2
Facility 28,2019-06-04,2019-06-04,Sofala,Nhamatanda,35,9,32,76,28
Facility 14,2019-06-03,2019-06-03,Sofala,Dondo,10,10,17,37,14
Facility 32,2019-06-03,2019-06-03,Sofala,Nhamatanda,49,40,40,129,32
Facility 32,2019-06-02,2019-06-03,Sofala,Nhamatanda,0,0,0,0,32
Facility 32,2019-06-01,2019-06-03,Sofala,Nhamatanda,0,0,0,0,32
Facility 32,2019-05-31,2019-06-03,Sofala,Nhamatanda,21,12,39,72,32
Facility 32,2019-05-30,2019-06-03,Sofala,Nhamatanda,29,35,34,98,32
Facility 32,2019-05-29,2019-06-03,Sofala,Nhamatanda,30,33,34,97,32
Facility 34,2019-06-03,2019-06-03,Sofala,Dondo,8,9,13,30,34
Facility 33,2019-06-01,2019-06-03,Sofala,Buzi,1,0,1,2,33
Facility 33,2019-05-31,2019-06-03,Sofala,Buzi,3,3,7,13,33
Facility 50,2019-06-02,2019-06-03,Sofala,Nhamatanda,0,3,6,9,50
Facility 50,2019-06-01,2019-06-03,Sofala,Nhamatanda,0,0,0,0,50
Facility 1,2019-06-02,2019-06-03,Sofala,Nhamatanda,0,0,0,0,1
Facility 1,2019-06-01,2019-06-03,Sofala,Nhamatanda,0,0,0,0,1
Facility 50,2019-05-31,2019-06-03,Sofala,Nhamatanda,32,33,58,123,50
Facility 1,2019-05-31,2019-06-03,Sofala,Nhamatanda,24,28,35,87,1
Facility 50,2019-05-30,2019-06-03,Sofala,Nhamatanda,20,15,58,93,50
Facility 37,2019-06-02,2019-06-03,Sofala,Beira,24,15,79,118,37
Facility 37,2019-06-01,2019-06-03,Sofala,Beira,24,6,11,41,37
Facility 37,2019-05-31,2019-06-03,Sofala,Beira,35,19,7,61,37
Facility 37,2019-05-30,2019-06-03,Sofala,Beira,12,29,10,51,37
Facility 10,2019-06-03,2019-06-03,Sofala,Beira,0,12,29,41,10
Facility 10,2019-06-02,2019-06-03,Sofala,Beira,0,5,6,11,10
Facility 10,2019-06-01,2019-06-03,Sofala,Beira,0,5,8,13,10
Facility 6,2019-06-02,2019-06-03,Sofala,Dondo,0,0,0,0,6
Facility 6,2019-06-01,2019-06-03,Sofala,Dondo,5,1,0,6,6
Facility 6,2019-05-31,2019-06-03,Sofala,Dondo,6,5,7,18,6
