location_name,data_date,submitted_date,Province,District,malaria_rdt_0-4,malaria_rdt_5-14,malaria_rdt_15,malaria_tot,newid
Facility 32,2019-06-10,2019-06-10,Sofala,Nhamatanda,21,21,17,59,32
Facility 32,2019-06-07,2019-06-10,Sofala,Nhamatanda,17,18,26,61,32
Facility 31,2019-06-08,2019-06-10,Sofala,Dondo,0,0,0,0,31
Facility 31,2019-06-09,2019-06-10,Sofala,Dondo,0,0,0,0,31
Facility 31,2019-06-10,2019-06-10,Sofala,Dondo,9,7,12,28,31
Facility 32,2019-06-08,2019-06-10,Sofala,Nhamatanda,16,8,13,37,32
Facility 32,2019-06-06,2019-06-10,Sofala,Nhamatanda,22,32,15,69,32
Facility 6,2019-06-10,2019-06-10,Sofala,Dondo,9,7,16,32,6
Facility 4,2019-06-10,2019-06-10,Sofala,Beira,22,27,12,61,4
Facility 23,2019-06-10,2019-06-10,Sofala,Dondo,8,11,14,33,23
Facility 46,2019-06-10,2019-06-10,Sofala,Dondo,4,3,5,12,46
Facility 34,2019-06-10,2019-06-10,Sofala,Dondo,12,7,16,35,34
Facility 17,2019-06-10,2019-06-10,Sofala,Buzi,0,3,4,7,17
Facility 17,2019-06-09,2019-06-10,Sofala,Buzi,0,0,0,0,17
Facility 21,2019-06-03,2019-06-03,Sofala,Beira,12,6,2,20,21
Facility 21,2019-06-02,2019-06-02,Sofala,Beira,33,5,5,43,21
Facility 1,2019-06-03,2019-06-06,Sofala,Nhamatanda,22,14,33,69,1
Facility 22,2019-06-06,2019-06-06,Sofala,Beira,9,2,6,17,22
Facility 20,2019-06-09,2019-06-10,Sofala,Buzi,0,0,0,0,20
Facility 20,2019-06-08,2019-06-10,Sofala,Buzi,2,0,0,2,20
Facility 20,2019-06-07,2019-06-10,Sofala,Buzi,0,1,0,1,20
Facility 20,2019-06-06,2019-06-10,Sofala,Buzi,0,1,0,1,20
Facility 22,2019-06-10,2019-06-10,Sofala,Beira,16,7,11,34,22
